Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Innings_Bowl,Balls,Runs_Given,Wickets,BBI,Economy,B_Average,BSR,5W,10W
Ruturaj Gaikwad,Chennai Super Kings,Right,Right-arm offbreak,BATSMAN,6,6,2,204,72,51,169,120.71,0,0,3,16,6,0,0,0,0,0,0,0,0,0,0
KL Rahul,Punjab Kings,Right,,WICKET KEEPER,81,72,13,2647,132,44.86,1949,135.81,2,0,21,234,104,0,0,0,0,0,0,0,0,0,0
David Warner,Sunrisers Hyderabad,Left,Right-arm legbreak,BATSMAN,142,142,19,5254,126,42.72,3712,141.54,4,0,48,511,194,1,1,2,0,0/2,0,0,0,0,0
Jonny Bairstow,Sunrisers Hyderabad,Right,Right-arm medium,WICKET KEEPER,21,21,2,790,114,41.58,555,142.34,1,0,5,79,31,0,0,0,0,0,0,0,0,0,0
Chris Gayle,Punjab Kings,Left,Right-arm offbreak,BATSMAN,132,131,15,4772,175,41.14,3179,150.11,6,0,31,384,349,38,554,729,18,Mar-21,7.9,40.5,30.78,0,0
MS Dhoni,Chennai Super Kings,Right,Right-arm medium,WICKET KEEPER,204,182,69,4632,84,40.99,3387,136.76,0,0,23,313,216,0,0,0,0,0,0,0,0,0,0
AB de Villiers,Royal Challengers Bangalore,Right,Right-arm medium,WICKET KEEPER,169,156,36,4849,133,40.41,3192,151.91,3,0,38,390,235,0,0,0,0,0,0,0,0,0,0
Kane Williamson,Sunrisers Hyderabad,Right,Right-arm offbreak,BATSMAN,53,52,11,1619,89,39.49,1201,134.8,0,0,15,136,54,2,18,31,0,0/7,10.33,0,0,0,0
Virat Kohli,Royal Challengers Bangalore,Right,Right-arm medium,BATSMAN,192,184,30,5878,113,38.17,4496,130.74,5,0,39,503,201,26,251,368,4,Feb-25,8.8,92,62.75,0,0
Steven Smith,Delhi Capitals,Right,Right-arm legbreak,BATSMAN,95,86,20,2333,101,35.35,1805,129.25,1,0,11,212,58,1,2,5,0,0/5,0,0,0,0,0
Rishabh Pant,Delhi Capitals,Left,,WICKET KEEPER,68,68,9,2079,128,35.24,1368,151.97,1,0,12,183,103,0,0,0,0,0,0,0,0,0,0
Jos Buttler,Rajasthan Royals,Right,,WICKET KEEPER,58,57,8,1714,95,34.98,1146,149.56,0,0,11,167,77,0,0,0,0,0,0,0,0,0,0
Shikhar Dhawan,Delhi Capitals,Left,Right-arm offbreak,BATSMAN,176,175,23,5196,106,34.18,4096,126.86,2,0,41,591,108,6,48,66,4,01-Jul,8.25,16.5,12,0,0
Chris Lynn,Mumbai Indians,Right,Left-arm orthodox,BATSMAN,41,41,3,1280,93,33.68,910,140.66,0,0,10,128,63,0,0,0,0,0,0,0,0,0,0
David Miller,Rajasthan Royals,Left,Right-arm offbreak,BATSMAN,80,78,23,1850,101,33.64,1333,138.78,1,0,9,126,87,0,0,0,0,0,0,0,0,0,0
Shubman Gill,Kolkata Knight Riders,Right,Right-arm offbreak,BATSMAN,41,38,10,939,76,33.54,750,125.2,0,0,7,87,24,0,0,0,0,0,0,0,0,0,0
Suresh Raina,Chennai Super Kings,Left,Right-arm offbreak,BATSMAN,193,189,28,5368,100,33.34,3915,137.11,1,0,38,493,194,69,908,1118,25,2/0,7.39,44.72,36.32,0,0
Faf du Plessis,Chennai Super Kings,Right,Right-arm legbreak,BATSMAN,84,77,7,2302,96,32.89,1781,129.25,0,0,16,205,73,1,6,16,0,0/16,16,0,0,0,0
Nicholas Pooran,Punjab Kings,Left,,WICKET KEEPER,21,20,4,521,77,32.56,315,165.4,0,0,2,32,39,0,0,0,0,0,0,0,0,0,0
Basil Thampi,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,20,8,7,32,13,32,35,91.43,0,0,0,1,1,20,425,694,17,Mar-29,9.8,40.82,25,0,0
Mitchell Santner,Chennai Super Kings,Left,Left-arm orthodox,ALL ROUNDER,6,2,1,32,22,32,23,139.13,0,0,0,0,3,6,126,147,6,Feb-13,7,24.5,21,0,0
Ajinkya Rahane,Delhi Capitals,Right,Right-arm medium,BATSMAN,149,140,16,3933,105,31.72,3240,121.39,2,0,28,416,76,1,6,5,1,01-May,5,5,6,0,0
Quinton de Kock,Mumbai Indians,Left,,WICKET KEEPER,66,66,4,1959,108,31.6,1467,133.54,1,0,14,201,76,0,0,0,0,0,0,0,0,0,0
Devdutt Padikkal,Royal Challengers Bangalore,Left,Right-arm offbreak,BATSMAN,15,15,0,473,74,31.53,379,124.8,0,0,5,51,8,0,0,0,0,0,0,0,0,0,0
Shreyas Iyer,Delhi Capitals,Right,Right-arm legbreak,BATSMAN,79,79,9,2200,96,31.43,1745,126.07,0,0,16,189,83,0,0,0,0,0,0,0,0,0,0
Rohit Sharma,Mumbai Indians,Right,Right-arm offbreak,BATSMAN,200,195,28,5230,109,31.32,4004,130.62,1,0,39,458,213,30,332,440,15,04-Jun,7.95,29.33,22.13,0,0
Rahul Tewatia,Rajasthan Royals,Left,Right-arm legbreak,ALL ROUNDER,34,23,11,366,53,30.5,272,134.56,0,0,1,24,20,32,572,680,24,Mar-18,7.13,28.33,23.83,0,0
Suryakumar Yadav,Mumbai Indians,Right,Right-arm offbreak,BATSMAN,101,86,19,2024,79,30.21,1504,134.57,0,0,11,221,58,1,6,8,0,0/8,8,0,0,0,0
Hardik Pandya,Mumbai Indians,Right,Right-arm fast,ALL ROUNDER,80,74,29,1349,91,29.98,847,159.27,0,0,4,86,93,60,869,1313,42,Mar-20,9.07,31.26,20.69,0,0
Kieron Pollard,Mumbai Indians,Right,Right-arm medium,ALL ROUNDER,164,147,46,3023,83,29.93,2017,149.88,0,0,15,196,198,92,1325,1960,60,Apr-44,8.88,32.67,22.08,0,0
Andre Russell,Kolkata Knight Riders,Right,Right-arm fast,ALL ROUNDER,74,61,10,1517,88,29.75,832,182.33,0,0,8,105,129,68,1147,1713,61,Apr-20,8.96,28.08,18.8,0,0
Vijay Shankar,Sunrisers Hyderabad,Right,Right-arm medium,ALL ROUNDER,40,34,12,654,63,29.73,512,127.73,0,0,3,44,25,15,163,229,6,01-Nov,8.43,38.17,27.17,0,0
Manish Pandey,Sunrisers Hyderabad,Right,Right-arm medium,BATSMAN,146,135,25,3268,114,29.71,2686,121.67,1,0,18,287,93,0,0,0,0,0,0,0,0,0,0
Ambati Rayudu,Chennai Super Kings,Right,Right-arm offbreak,BATSMAN,159,151,27,3659,100,29.51,2902,126.09,1,0,19,308,132,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,Mumbai Indians,Left,,WICKET KEEPER,51,46,4,1211,99,28.83,885,136.84,0,0,7,100,64,0,0,0,0,0,0,0,0,0,0
Moises Henriques,Punjab Kings,Right,Right-arm fast,ALL ROUNDER,57,50,16,969,74,28.5,756,128.17,0,0,5,87,27,55,890,1244,38,Mar-16,8.39,32.74,23.42,0,0
